timestamp,notebook,name,kind,path,description
2026-07-08T12:43:35,test,_test_fig,figure,/Users/naodaraya/variant-disagreement-atlas/results/figures/_test_fig.png,smoke test
2026-07-08T12:43:35,test,_test_tbl,table,/Users/naodaraya/variant-disagreement-atlas/results/tables/_test_tbl.csv,smoke test
2026-07-08T12:43:36,test,_test_proc,processed,/Users/naodaraya/variant-disagreement-atlas/data/processed/_test_proc.parquet,smoke test
2026-07-08T12:47:54,02_pilot_disagreement,pairwise_agreement_clustermap,figure,/Users/naodaraya/variant-disagreement-atlas/notebooks/../results/figures/pairwise_agreement_clustermap.png,95×95 Cohen's κ clustermap with Ward-linkage clustering; models that agree group together
2026-07-08T12:47:54,02_pilot_disagreement,pairwise_kappa_matrix,table,/Users/naodaraya/variant-disagreement-atlas/notebooks/../results/tables/pairwise_kappa_matrix.csv,Full 95×95 Cohen's κ matrix of pairwise model agreement across 5 pilot assays
2026-07-08T12:47:54,02_pilot_disagreement,most_agreeing_pairs_top10,table,/Users/naodaraya/variant-disagreement-atlas/notebooks/../results/tables/most_agreeing_pairs_top10.csv,Top-10 model pairs with highest pairwise Cohen's κ
2026-07-08T12:47:54,02_pilot_disagreement,least_agreeing_pairs_top10,table,/Users/naodaraya/variant-disagreement-atlas/notebooks/../results/tables/least_agreeing_pairs_top10.csv,Top-10 model pairs with lowest pairwise Cohen's κ (most disagreement)
2026-07-08T12:47:54,02_pilot_disagreement,per_pilot_disagreement_stats,table,/Users/naodaraya/variant-disagreement-atlas/notebooks/../results/tables/per_pilot_disagreement_stats.csv,Descriptive statistics of disagreement entropy and score spread per pilot assay
2026-07-08T12:47:54,02_pilot_disagreement,pilot_binarized_scores,processed,/Users/naodaraya/variant-disagreement-atlas/notebooks/../data/processed/pilot_binarized_scores.parquet,Binarized model predictions (per-assay-per-model median split) for 5 pilot assays
2026-07-08T12:47:54,02_pilot_disagreement,pilot_variant_disagreement_scores,processed,/Users/naodaraya/variant-disagreement-atlas/notebooks/../data/processed/pilot_variant_disagreement_scores.parquet,Per-variant disagreement entropy and score spread for 5 pilot assays
2026-07-08T12:47:55,02_pilot_disagreement,disagreement_distribution_pilots,figure,/Users/naodaraya/variant-disagreement-atlas/notebooks/../results/figures/disagreement_distribution_pilots.png,Overlaid density histograms of per-variant disagreement entropy for 5 pilot assays
2026-07-08T12:47:57,02_pilot_disagreement,score_heatmap_A4_HUMAN,figure,/Users/naodaraya/variant-disagreement-atlas/notebooks/../results/figures/score_heatmap_A4_HUMAN.png,"Top-50 most-disagreed variants, z-scored model scores heatmap for A4_HUMAN_Seuma_2022"
2026-07-08T12:47:59,02_pilot_disagreement,score_heatmap_ADRB2_HUMAN,figure,/Users/naodaraya/variant-disagreement-atlas/notebooks/../results/figures/score_heatmap_ADRB2_HUMAN.png,"Top-50 most-disagreed variants, z-scored model scores heatmap for ADRB2_HUMAN_Jones_2020"
2026-07-08T12:48:00,02_pilot_disagreement,score_heatmap_ACE2_HUMAN,figure,/Users/naodaraya/variant-disagreement-atlas/notebooks/../results/figures/score_heatmap_ACE2_HUMAN.png,"Top-50 most-disagreed variants, z-scored model scores heatmap for ACE2_HUMAN_Chan_2020"
2026-07-08T12:48:02,02_pilot_disagreement,score_heatmap_AMIE_PSEAE,figure,/Users/naodaraya/variant-disagreement-atlas/notebooks/../results/figures/score_heatmap_AMIE_PSEAE.png,"Top-50 most-disagreed variants, z-scored model scores heatmap for AMIE_PSEAE_Wrenbeck_2017"
